510,24,72,20
343,33,160,29
97,17,161,23
709,37,355,14
301,10,685,15
163,34,164,30
94,51,266,31
246,16,46,9
249,13,49,36
415,37,67,64
699,19,80,23
509,39,113,14
675,42,130,0
393,52,159,41
627,41,166,28
427,29,177,13
60,35,206,3
611,10,364,56
498,21,396,49
537,31,425,21
122,17,466,24
514,2,527,55
605,34,649,0
599,34,651,20
419,8,746,7
135,34,23,0
586,0,31,46
385,0,35,48
722,10,47,28
170,0,50,42
677,24,57,38
188,49,79,14
279,52,103,45
276,13,109,56
518,3,114,49
567,0,124,66
632,7,129,28
346,24,132,41
145,21,143,57
359,21,154,24
172,14,171,56
316,29,174,50
452,14,178,21
727,38,191,21
441,41,203,14
580,10,209,6
488,0,211,41
289,34,219,13
417,10,223,22
160,7,239,28
678,24,245,44
645,7,248,45
543,11,268,13
424,17,282,20
458,12,299,31
708,29,303,45
125,21,340,20
116,26,341,49
663,14,352,70
648,23,362,9
22,19,378,33
642,24,383,23
504,7,399,28
55,28,401,25
500,23,404,30
711,24,403,41
402,35,408,7
591,0,418,57
446,21,420,44
576,21,451,48
743,14,462,48
717,23,467,24
32,56,442,59
187,28,503,42
97,34,510,41
115,34,511,27
14,14,534,7
367,7,556,77
571,49,597,13
465,9,618,13
194,35,547,49
406,38,548,42
581,21,549,17
24,13,629,20
755,21,631,7
693,13,658,10
297,13,665,63
589,0,680,24
714,6,681,45
574,13,687,10
595,16,697,38
656,3,698,7
470,19,704,38
530,14,728,46
405,0,750,68
184,10,760,45
646,31,30,10
480,7,53,55
215,27,54,20
9,22,89,16
325,24,110,10
144,7,141,44
81,24,162,28
413,14,193,61
51,31,242,21
232,13,391,28
694,37,356,34
662,40,435,9
93,27,447,30
3,30,506,28
12,18,553,34
730,26,593,10
308,13,612,26
463,28,616,42
434,0,604,28
71,24,617,20
139,7,621,33
34,28,628,13
173,21,715,14
456,21,734,34
438,29,741,22
554,39,757,3
70,34,2,33
1,21,4,37
683,24,5,47
582,6,6,52
696,41,11,34
281,28,15,35
643,44,17,21
610,47,18,24
566,16,19,9
83,18,26,16
471,13,28,44
349,20,29,21
320,21,36,45
134,19,37,13
476,34,40,37
719,45,44,0
258,28,45,38
159,27,49,89
345,3,58,5
46,6,60,58
718,31,61,24
373,33,62,34
679,13,64,23
161,32,67,34
324,47,69,27
748,20,73,49
243,17,75,14
561,50,77,48
309,27,80,21
272,41,84,35
386,20,86,41
502,26,90,29
72,7,96,59
706,41,100,34
426,24,101,27
328,27,102,24
41,11,104,51
126,17,105,45
513,20,106,7
377,21,108,28
575,0,111,38
260,13,119,35
224,10,120,17
315,7,122,57
659,36,133,13
671,20,137,35
427,26,140,13
721,25,147,32
532,30,148,40
605,7,150,23
370,0,153,17
625,21,164,35
117,19,168,31
525,51,176,0
685,13,177,38
230,21,179,45
163,42,180,45
523,38,181,35
66,53,182,70
461,6,183,49
590,28,185,18
725,7,186,52
587,40,195,45
431,19,198,13
235,31,201,6
127,14,210,13
202,38,212,39
552,19,213,37
151,31,214,14
375,7,216,24
584,30,218,38
204,21,226,32
644,39,227,43
333,6,228,30
236,10,231,31
564,43,233,6
583,9,234,31
670,35,237,0
167,14,238,38
459,24,240,33
560,0,241,54
82,38,244,22
419,28,246,3
113,17,249,36
400,40,251,21
607,69,252,14
305,31,253,26
250,0,254,69
158,9,257,29
494,7,262,38
63,3,265,42
157,30,267,28
42,23,269,55
292,24,270,30
421,44,274,3
493,23,275,33
546,27,278,21
569,3,283,47
439,3,284,52
686,13,286,50
623,31,288,22
91,25,291,41
389,21,293,45
474,25,294,20
155,51,295,21
676,9,296,14
430,7,300,80
152,13,301,30
486,29,306,36
528,6,307,55
189,20,311,17
585,44,313,35
166,59,314,0
562,17,317,21
205,21,319,14
475,38,326,35
56,20,327,34
136,38,329,14
635,6,330,44
422,23,334,21
690,34,335,9
331,23,339,13
355,17,343,63
200,28,347,27
280,52,348,49
74,45,350,10
588,21,351,38
668,45,353,14
620,24,354,27
99,23,358,30
545,35,360,28
627,33,361,39
175,34,365,21
87,26,366,10
363,20,369,7
492,0,371,56
277,13,372,52
88,33,376,42
626,3,380,33
542,17,382,35
25,20,387,24
217,3,388,70
266,3,390,63
700,7,392,33
746,21,393,22
7,0,394,55
65,0,396,26
682,40,409,6
514,16,411,28
573,21,412,20
48,14,416,62
600,31,423,41
318,35,429,50
273,51,432,24
501,0,433,62
39,21,437,10
222,16,443,52
229,10,444,43
381,29,445,34
221,42,454,28
596,0,460,62
21,13,468,41
544,34,469,21
537,27,472,56
729,22,477,21
614,28,478,21
38,0,479,14
710,28,481,3
524,31,482,17
123,17,484,44
78,10,490,77
638,56,491,54
541,7,495,61
599,58,498,14
660,28,499,53
312,13,507,33
206,10,509,42
688,7,512,28
118,26,516,43
332,10,519,17
323,29,521,31
192,24,522,45
130,0,527,73
742,21,529,35
464,35,53
