
196,242,-0.53039
186,302,-0.53039
244,51,-1.5304
166,346,-2.5304
298,474,0.46961
115,265,-1.5304
253,465,1.4696
305,451,-0.53039
6,86,-0.53039
62,257,-1.5304
286,1014,1.4696
200,222,1.4696
210,40,-0.53039
224,29,-0.53039
303,785,-0.53039
122,387,1.4696
194,274,-1.5304
291,1042,0.46961
234,1184,-1.5304
119,392,0.46961
167,486,0.46961
299,144,0.46961
291,118,-1.5304
308,1,0.46961
95,546,-1.5304
38,95,1.4696
102,768,-1.5304
63,277,0.46961
160,234,1.4696
50,246,-0.53039
301,98,0.46961
225,193,0.46961
290,88,0.46961
157,274,0.46961
181,1081,-2.5304
278,603,1.4696
276,796,-2.5304
10,16,0.46961
284,304,0.46961
201,979,-1.5304
276,564,-0.53039
287,327,1.4696
246,201,1.4696
242,1137,1.4696
249,241,1.4696
99,4,1.4696
178,332,-0.53039
251,100,0.46961
81,432,-1.5304
260,322,0.46961
25,181,1.4696
59,196,1.4696
72,679,-1.5304
87,384,0.46961
290,143,1.4696
42,423,1.4696
292,515,0.46961
115,20,-0.53039
20,288,-2.5304
201,219,0.46961
13,526,-0.53039
246,919,0.46961
138,26,1.4696
167,232,-2.5304
60,427,1.4696
57,304,1.4696
223,274,0.46961
189,512,0.46961
243,15,-0.53039
92,1049,-2.5304
246,416,-0.53039
194,165,0.46961
241,690,-1.5304
178,248,0.46961
254,1444,-0.53039
293,5,-0.53039
127,229,1.4696
225,237,1.4696
299,229,-0.53039
225,480,1.4696
276,54,-0.53039
291,144,1.4696
222,366,0.46961
267,518,1.4696
42,403,-0.53039
11,111,0.46961
95,625,0.46961
8,338,0.46961
162,25,0.46961
87,1016,0.46961
279,154,1.4696
145,275,-1.5304
119,1153,1.4696
62,498,0.46961
28,209,0.46961
32,294,-0.53039
90,382,1.4696
286,208,0.46961
293,685,-0.53039
216,144,0.46961
166,328,1.4696
250,496,0.46961
271,132,1.4696
160,174,1.4696
265,118,0.46961
42,96,1.4696
168,151,1.4696
110,307,0.46961
58,144,0.46961
90,648,0.46961
271,346,0.46961
279,832,-0.53039
237,514,0.46961
94,789,0.46961
128,485,-0.53039
298,317,0.46961
44,195,1.4696
264,200,1.4696
194,385,-1.5304
72,195,1.4696
222,750,1.4696
250,264,-0.53039
224,245,-0.53039
82,135,-0.53039
262,1147,0.46961
293,471,-0.53039
216,658,-0.53039
250,140,-0.53039
59,23,1.4696
286,379,1.4696
244,815,0.46961
7,479,0.46961
174,368,-2.5304
87,274,0.46961
82,1134,-1.5304
13,836,-1.5304
13,272,0.46961
244,756,-1.5304
305,427,1.4696
43,14,-1.5304
299,955,0.46961
57,419,-0.53039
84,405,-0.53039
269,504,0.46961
299,111,-0.53039
194,466,0.46961
160,135,0.46961
99,268,-0.53039
10,486,0.46961
259,117,0.46961
85,427,-0.53039
303,919,0.46961
213,273,1.4696
121,514,-0.53039
90,98,1.4696
49,559,-1.5304
42,794,-0.53039
155,323,-1.5304
68,117,0.46961
172,177,0.46961
19,4,0.46961
5,2,-0.53039
305,117,-1.5304
44,294,0.46961
43,137,0.46961
279,1336,-2.5304
80,466,1.4696
254,164,0.46961
298,281,-0.53039
279,1240,-2.5304
66,298,0.46961
18,443,-0.53039
268,1035,-1.5304
99,79,0.46961
13,98,0.46961
26,258,-0.53039
7,455,0.46961
222,755,0.46961
200,673,1.4696
119,328,0.46961
213,172,1.4696
276,322,-0.53039
94,1217,-0.53039
130,379,0.46961
38,328,0.46961
160,719,-0.53039
293,1267,-0.53039
26,930,-1.5304
130,216,0.46961
92,1079,-0.53039
256,452,0.46961
1,61,0.46961
72,48,0.46961
56,755,-0.53039
13,360,0.46961
15,405,-1.5304
92,77,-0.53039
207,476,-1.5304
292,174,1.4696
232,483,1.4696
251,748,-1.5304
224,26,-0.53039
181,220,0.46961
259,255,0.46961
305,471,0.46961
52,280,-0.53039
161,202,1.4696
148,408,1.4696
125,235,-1.5304
97,228,1.4696
58,1098,0.46961
83,234,0.46961
90,347,0.46961
272,178,1.4696
194,181,-0.53039
125,478,0.46961
110,688,-2.5304
299,14,0.46961
151,10,1.4696
269,127,0.46961
6,14,1.4696
54,106,-0.53039
303,69,1.4696
16,944,-2.5304
301,790,0.46961
276,1091,-0.53039
194,1028,-1.5304
91,323,-1.5304
87,554,0.46961
294,109,0.46961
286,171,0.46961
200,318,1.4696
229,328,-2.5304
178,568,0.46961
303,842,-1.5304
62,65,0.46961
207,591,-0.53039
92,172,0.46961
301,401,0.46961
36,339,1.4696
70,746,-0.53039
63,242,-0.53039
28,201,-0.53039
279,68,0.46961
250,7,0.46961
299,1018,-0.53039
194,54,-0.53039
303,815,-0.53039
295,218,1.4696
268,930,-1.5304
268,2,-1.5304
